surat_nomor,ayat_nomor,teks_id
1,1,"Aku baca dengan1 nama2 Allah3, Mahapemurah, Maha-penyayang4."
1,2,"Segala5 puji5A hanya bagi Allah, Tuhan6 seluruh alam,6A"
1,3,"Maha Pemurah, Maha Penyayang7."
1,4,Pemilik8 Hari9 Pemba-lasan.10
1,5,Hanya Engkau-lah Yang kami sembah11 dan hanya kepada Engkau-lah kami mohon pertolongan.12
1,6,"Tunjukilah kami jalan yang lurus,13"
1,7,"Yaitu jalan orang-orang yang telah Engkau beri nikmat atas mereka,14 bukan jalan mereka yang dimurkai dan bukan pula jalan mereka yang sesat.15"
2,1,"Aku baca dengan nama Allah, Maha Pemurah, Maha Penyayang."
2,2,Alif Lām Mīm.16
2,3,"Inilah17 Kitab yang sem-purna17A, tidak ada keraguan18 di dalamnya, petunjuk bagi orang-orang yang bertakwa.19"
2,4,"Yaitu mereka yang beriman kepada yang gaib,20 mendirikan shalat21 dan menginfakkan seba-gian dari yang Kami rezekikan22 kepadanya."
2,5,"Dan mereka yang beriman kepada apa yang diturunkan kepada engkau23, juga kepada apa yang telah diturunkan sebelum engkau24 dan kepada akhirat25 pun mereka yakin."
2,6,Mereka itulah yang berada di atas petunjuk dari Tuhannya dan mereka itulah yang berhasil.
2,7,"Sesungguhnya orang-orang kafir sama saja bagi mereka, apakah engkau memperingatkan mereka atau pun engkau tidak memperingatkan mereka, mereka tidak akan beriman.26"
2,8,"Allah telah mencap27 hati mereka dan pendengaran mereka, sedangkan pada penglihatan mereka ada tutupan, dan bagi mereka ada siksaan yang amat besar."
2,9,"Dan di antara manusia ada yang berkata, ”Kami ber-iman kepada Allah dan Hari Kemudian”, padahal mereka bukanlah orang-orang yang beriman.28"
2,10,"Mereka hendak menipu29 Allah dan orang-orang beriman, padahal mereka tidak menipu melainkan diri mereka sendiri, tetapi mereka sama sekali tidak menyadari."
2,11,"Dalam hati mereka ada penyakit, lalu Allah menambah parah penyakit mereka30 dan bagi mereka ada azab yang pedih disebabkan mereka senantiasa berdusta."
2,12,"Dan apabila dikatakan ke-pada mereka: ”Janganlah kamu berbuat kekacauan di bumi”, mereka berkata: “Sesungguhnya kami adalah orang-orang yang melakukan perbaikan.”"
2,13,"Ingatlah, sesungguhnya me-reka itu pembuat kekacauan tetapi mereka tidak menyadari."
2,14,"Dan apabila dikatakan kepada mereka: “Berimanlah kamu sebagaimana orang-orang lain telah beriman”, mereka berkata: “Apakah kami harus beriman sebagaimana orang-orang bodoh telah beriman?” Ingatlah, sesungguhnya mereka itu orang-orang bodoh31tetapi mereka tidak mengetahui."
2,15,"Dan apabila mereka berte-mu dengan orang-orang beriman, mereka berkata: “Kami pun telah beriman”. Tetapi apabila mereka pergi kepada pemimpin-pemimpin mereka32, mereka berkata: “Sesung-guhnya kami beserta kamu, kami hanya berolok-olok.”"
2,16,Allah akan menghukum33 perolokan mereka dan akan membiarkan mereka berkelana33Abingung dalam kedurhakaannya34
2,17,Mereka itu orang-orang yang telah membeli kesesatan dengan petunjuk35 maka tidak beruntung perniagaan mereka dan mereka bukanlah orang-orang yang mendapat petunjuk.
2,18,"Perumpamaan mereka se-perti orang yang menyalakan api,36 maka tatkala api itu telah menyinari apa yang ada di sekelilingnya, Allah melenyapkan cahaya yang menyinari mereka dan me-ninggalkan mereka dalam ke-gelapan,37 mereka tidak dapat melihat."
2,19,"Mereka tuli, bisu, buta, maka mereka tidak akan kem-bali.38"
2,20,"Atau perumpamaan me-reka seperti hujan lebat dari langit39 yang disertai gelap gulita, guruh, dan kilat, mereka memasukkan jarinya ke dalam telinganya disebabkan petir karena takut mati,40 dan Allah mengepung orang-orang kafir."
